code,first_name,second_name,web_name,id,understat
461358,Julián,Álvarez,Álvarez,319,10846
439510,Luke,Mbete-Tabu,Mbete,320,0
514356,Roméo,Lavia,Lavia,321,10004
447880,Josh,Wilson-Esbrand,Wilson-Esbrand,322,0
463034,Liam,Delap,Delap,323,8868
88248,Stefan,Ortega Moreno,Ortega,324,0
155405,Kalvin,Phillips,Phillips,325,8719
14937,Cristiano Ronaldo,dos Santos Aveiro,Ronaldo,326,2371
51940,David,De Gea Quintana,De Gea,327,546
76359,Phil,Jones,Jones,328,951
90152,Raphaël,Varane,Varane,329,2245
95658,Harry,Maguire,Maguire,330,1687
101582,Frederico,Rodrigues de Paula Santos,Fred,331,6817
106760,Luke,Shaw,Shaw,332,1006
141746,Bruno,Borges Fernandes,Fernandes,333,1228
152590,Alex,Telles,Telles,334,1828
176297,Marcus,Rashford,Rashford,335,556
180184,Donny,van de Beek,Van de Beek,336,8821
184667,Victor,Lindelöf,Lindelöf,337,6080
195851,Scott,McTominay,McTominay,338,5560
197365,Eric,Bailly,Bailly,339,1739
209243,Jadon,Sancho,Sancho,340,6345
214590,Aaron,Wan-Bissaka,Wan-Bissaka,341,5584
216051,Diogo,Dalot Teixeira,Dalot,342,7281
232937,Brandon,Williams,B.Williams,343,8075
449434,Anthony,Elanga,Elanga,344,9524
148225,Anthony,Martial,Martial,345,553
156689,Andreas,Hoelgebaum Pereira,Andreas,346,922
488404,Facundo,Pellistri Rebollo,Pellistri,347,9324
21205,Tom,Heaton,Heaton,348,1651
50232,Jonjo,Shelvey,Shelvey,349,769
56983,Matt,Ritchie,Ritchie,350,461
57145,Federico,Fernández,Fernández,351,708
58845,Ciaran,Clark,Clark,352,875
59735,Karl,Darlow,Darlow,353,780
60689,Chris,Wood,Wood,354,4456
67089,Martin,Dubravka,Dubravka,355,6532
75115,Callum,Wilson,Wilson,356,468
77794,Kieran,Trippier,Trippier,357,652
78916,Dan,Burn,Burn,358,7382
90105,Ryan,Fraser,Fraser,359,1683
101148,Jamaal,Lascelles,Lascelles,360,766
104547,Dwight,Gayle,Gayle,361,743
106618,Paul,Dummett,Dummett,362,853
109528,Javier,Manquillo Gaitán,Manquillo,363,1719
111773,Emil,Krafth,Krafth,364,1545
114243,Jacob,Murphy,Murphy,365,6063
119471,Fabian,Schär,Schär,366,76
169359,Matt,Targett,Targett,367,884
170137,Allan,Saint-Maximin,Saint-Maximin,368,101
179018,Miguel,Almirón Rejala,Almirón,369,7420
180135,Sean,Longstaff,S.Longstaff,370,7078
180974,Joelinton Cássio,Apolinário de Lira,Joelinton,371,87
194799,Jamal,Lewis,Lewis,372,7691
200089,Joe,Willock,Willock,373,6630
208706,Bruno,Guimarães Rodriguez Moura,Bruno Guimarães,374,8327
83314,Jeff,Hendrick,Hendrick,375,1746
98747,Nick,Pope,Pope,376,5552
220237,Sven,Botman,Botman,377,8635
48615,Harry,Arter,Arter,378,881
56917,Steve,Cook,Cook,379,458
